,class,group,method,coverage,milestone
0,CategoricalIndex,Categorical components,add_categories,❌,
1,CategoricalIndex,Categorical components,as_ordered,❌,
2,CategoricalIndex,Categorical components,as_unordered,❌,
3,CategoricalIndex,Categorical components,categories,✅,
4,CategoricalIndex,Categorical components,codes,✅,
5,CategoricalIndex,Categorical components,ordered,❌,
6,CategoricalIndex,Categorical components,remove_categories,❌,
7,CategoricalIndex,Categorical components,remove_unused_categories,❌,
8,CategoricalIndex,Categorical components,rename_categories,❌,
9,CategoricalIndex,Categorical components,reorder_categories,❌,
10,CategoricalIndex,Categorical components,set_categories,❌,
11,CategoricalIndex,Modifying and computations,equals,❌,
12,CategoricalIndex,Modifying and computations,map,❌,
13,DataFrame,Attributes and underlying data,axes,✅,
14,DataFrame,Attributes and underlying data,columns,✅,phase 1
15,DataFrame,Attributes and underlying data,dtypes,✅,
16,DataFrame,Attributes and underlying data,empty,✅,phase 1
17,DataFrame,Attributes and underlying data,index,✅,phase 1
18,DataFrame,Attributes and underlying data,info,✅,phase 2
19,DataFrame,Attributes and underlying data,memory_usage,✅,
20,DataFrame,Attributes and underlying data,ndim,✅,
21,DataFrame,Attributes and underlying data,select_dtypes,✅,phase 2
22,DataFrame,Attributes and underlying data,set_flags,❌,
23,DataFrame,Attributes and underlying data,shape,✅,phase 1
24,DataFrame,Attributes and underlying data,size,✅,phase 1
25,DataFrame,Attributes and underlying data,values,✅,phase 1
26,DataFrame,Binary operator functions,__add__,✅,
27,DataFrame,Binary operator functions,add,🟡,phase 1
28,DataFrame,Binary operator functions,combine,❌,
29,DataFrame,Binary operator functions,combine_first,❌,
30,DataFrame,Binary operator functions,div,✅,
31,DataFrame,Binary operator functions,dot,❌,
32,DataFrame,Binary operator functions,eq,✅,
33,DataFrame,Binary operator functions,floordiv,✅,
34,DataFrame,Binary operator functions,ge,✅,
35,DataFrame,Binary operator functions,gt,✅,
36,DataFrame,Binary operator functions,le,✅,
37,DataFrame,Binary operator functions,lt,✅,
38,DataFrame,Binary operator functions,mod,✅,
39,DataFrame,Binary operator functions,mul,✅,
40,DataFrame,Binary operator functions,ne,✅,
41,DataFrame,Binary operator functions,pow,✅,
42,DataFrame,Binary operator functions,radd,✅,
43,DataFrame,Binary operator functions,rdiv,✅,
44,DataFrame,Binary operator functions,rfloordiv,✅,
45,DataFrame,Binary operator functions,rmod,✅,
46,DataFrame,Binary operator functions,rmul,✅,
47,DataFrame,Binary operator functions,rpow,✅,
48,DataFrame,Binary operator functions,rsub,✅,
